-2.3,0.2,0
10.1,0.1,0
-0.8,0.7,0
-3.4,0,0
-2.1,0.1,0
9.5,0.2,0
-2,0.2,0
-4.1,0,0
-0.1,-0.2,0
-0.1,-0.2,0
5.2,-0.5,0
-0.4,-0.3,0
-0.7,-0.3,0
-2.6,0.1,0
8.8,-0.1,0
-2.8,-0.1,0
-2.1,0,0
-3.7,0.2,0
7.5,-0.3,0
-0.4,-0.3,0
-2.3,0.4,0
-0.8,-0.1,1
5.7,-0.1,1
-1.2,0.2,1
-1.6,-0.5,1
-1.4,0,1
4.3,0.3,1
-1.2,-0.3,1
-1.2,0.1,1
-0.4,0,1
4.7,-0.5,1
-4.3,0,0
-5.9,-0.3,0
-14,1.1,0
-21.4,-0.2,0
-15.3,2.4,0
1.8,-0.5,0
1.8,0.1,0
5.5,-1,0
3.8,0.1,0
0,0.2,0
-0.1,0.6,0
-1.2,0.6,0
0.9,0.6,0
-0.1,0.3,0
0,-0.7,0
-0.5,0.1,0
-0.2,0.2,0
0.5,-0.1,0
0,0,0
0.1,0.1,0
0.1,-0.3,0
0,0,0
0.2,0,0
0.1,0,0
-1.9,0,0
0.2,-0.1,0
0.1,0,0
0.4,0.1,0
0.2,0.1,0
-2.8,0.5,0
0.4,-0.1,0
0.4,-0.1,0
0.7,0,0
-0.8,-0.4,0
0.9,-0.1,0
0.5,-0.5,0
0.5,-0.4,0
-3.5,-0.1,0
1.6,0,0
0.9,0.3,0
0.5,0.8,0
-5.8,0.5,0
0.3,0,0
0.4,0,0
2.1,-0.1,0
-5.6,-0.3,0
0.1,0.3,0
0.2,-0.1,0
3.6,-0.2,0
-7.8,0.3,0
2.9,-0.4,0
1,-0.1,0
1.8,0.5,1
1.9,-0.1,1
-7.2,0,1
2,-0.2,1
0.7,0.1,1
0.7,0,1
-8.3,-0.3,1
2.4,0.1,1
0.7,0.2,1
0.7,0.6,1
-5.3,-0.5,0
0.9,0.2,0
3,0.4,0
2.4,0.5,0
-11.1,1.3,0
1.4,0.8,0
5.8,0.2,0
1.2,-0.2,0
-11.8,-0.3,0
2.9,0.9,0
1.6,0.7,0
3.5,1.1,0
-12.2,-0.2,0
3.8,-0.7,0
3.2,-0.5,0
3.2,-0.5,0
2,1.2,0
-12.9,1.2,0
3.9,1.1,0
4.9,1,0
3.1,-0.1,0
-14.4,0.1,0
2.8,0.2,0
4.8,-0.2,0
3.6,-0.3,0
-11.3,-0.4,0
4.8,1.2,0
2.9,1.5,0
6.1,1,0
-9.4,-0.1,0
16.1,1.7,0
23.2,1.6,0
25.2,1.9,0
4.1,1,0
13.4,2.1,0
13.2,-1.1,0
7.1,0.1,0
-17.4,0.7,0
0.6,1.5,0
5.5,-0.2,0
0.4,0.3,0
1.8,0.4,0
-14.6,0.5,0
1.9,0.6,0
3.9,1.1,0
3.9,1.6,0
-15,-0.4,0
3.9,-0.8,0
3.6,-0.3,0
5.1,-0.5,0
-15.7,-0.5,0
4,0.2,0
1.7,0.4,0
5.5,-0.2,0
-16.2,-0.2,0
5.3,0.3,0
3.5,-0.1,0
1.8,-0.1,0
-15.9,-1.4,0
4.4,-0.4,0
1.3,-0.3,0
0.8,-0.2,0
-20.7,-0.4,0
-0.7,-0.1,0
-0.7,0,0
-4.1,2.6,0
-1.9,2.5,0
-18.7,-0.2,0
2.3,-0.1,0
9.7,-0.6,0
7.5,-0.3,0
-12.4,-0.1,0
8.3,1,0
4.8,1.5,0
3.6,-0.1,0
-21.2,0.6,0
4.9,0.2,0
6.8,-0.8,0
2.8,0.8,0
-20.2,0.9,0
7.3,0.5,0
5.5,-0.1,0
2.8,0.1,0
-17.9,0.5,0
3.3,0.5,0
5.1,0.5,0
3.9,0.4,0
-17,-0.4,0
1.8,0.1,0
7.5,-0.5,0
1.7,-0.1,0
7.5,-0.3,0
-16.6,-0.1,0
11,-0.9,0
13.2,-0.9,0
10.2,0.1,0
-8.5,0.2,0
11.3,0.2,0
6.3,-0.4,0
2,-0.2,0
-20.3,-1.3,0
0.8,0.2,0
2.8,-0.1,0
3,0.3,0
-18.7,0.4,0
3,-0.4,0
5.4,-0.5,0
3.4,-0.2,0
-16.6,-0.3,0
4.4,-0.9,0
2.4,-0.1,0
1.9,-0.5,0
-14.7,-0.8,0
3.7,-1.9,0
1.6,-0.2,0
4.8,-0.3,0
7.5,-0.3,0
-13.7,-0.1,0
3.2,0,0
3.4,0,0
0.2,-0.1,0
-11.5,-0.2,0
1.3,0.2,0
1.3,0.2,1
2.7,-1.2,1
-14.7,-0.6,1
3.5,-0.3,1
4.7,-0.1,1
2.6,-0.2,1
-13.9,0.9,1
1.3,-0.3,1
2.2,0.1,1
2.2,-0.5,1
-13.2,-0.6,1
6.5,-1.2,1
12.1,-2.6,1
18,-2.6,1
-2.9,-5.3,1
10.7,-1.1,1
5.3,0.6,1
3.6,0.6,1
3,0.1,1
-14.1,0,1
1.9,0,1
1.7,0.2,1
2.2,-0.6,1
-10.5,-0.5,1
2.4,-1.2,0
3.9,-0.4,0
2,0.4,0
-11,0.4,0
3.6,0.5,1
2,0.2,1
3,-0.6,1
-10.2,-0.6,1
1,0,1
4,0,1
0.4,-0.4,1
-7,-0.3,1
2.6,-0.1,1
2.5,0.1,1
1.4,0.1,1
-8.1,1.1,0
4.2,0.2,0
0.2,0,0
4.8,0.5,0
0.5,0.4,0
-10.4,0.5,0
2.1,0.3,0
1.3,0.2,1
1.1,0.1,1
-8,0,1
1.2,-0.1,1
2.7,0,1
0.7,-0.1,1
-7.8,0,1
0.7,0,1
0.7,0.1,1
3.1,0,1
-3.5,0,1
0.4,-0.1,1
0.3,-1.7,1
3,0.1,1
-5.3,0,1
1.3,0.7,1
0.1,0.1,1
1.9,-0.3,1
-4.1,-0.2,1
3,0.3,1
5.8,0.3,1
15.3,0.8,1
13.3,0.5,0
-4.8,0,0
-0.8,-0.1,0
-0.9,0.5,0
-0.2,0,0
-3.1,0,0
0.3,0.1,0
0.1,-0.3,0
-0.1,-0.3,0
-1.9,0.2,0
0.1,-0.1,0
0.3,-0.2,0
0.3,-0.1,0
-0.3,-0.1,0
0,-0.8,0
-0.1,-0.3,0
0.1,-0.2,0
0.1,-0.1,0
0.4,-0.7,0
-0.2,-0.6,0
-0.3,-0.6,0
1.2,-0.7,0
-0.2,0.5,0
0,-0.5,0
0,-0.4,0
-0.5,-0.1,0
2.5,-0.2,0
-0.4,0.1,0
-1.3,-0.2,0
-2.2,-0.1,0
1.4,0.2,0
-1.2,-0.3,0
-0.5,-0.3,0
-0.4,-0.6,0
3.4,0.3,0
-0.5,-0.2,0
-0.6,0.1,0
-0.9,-0.1,0
6,-0.1,0
-0.7,-0.3,0
-0.6,-0.2,0
-1.5,-0.3,0
5,-0.2,0
-0.7,0.1,0
-0.9,-0.7,0
0.5,-0.8,0
8.4,-0.1,0
1.2,0.5,0
7.4,0.7,0
10.1,1.3,0
-0.1,0.2,0
8.9,0.3,0
-1.7,-0.3,0
-1,-0.2,0
-1.1,-0.1,0
8.4,-0.2,0
-1.6,-0.4,0
-3.1,-0.5,0
-1.7,-0.3,0
10,-0.6,0
-2.9,-0.1,0
-1.9,-0.1,0
-1,-0.2,0
11.1,-0.3,0
-4.1,-1.2,0
-2.4,0,0
-1.3,0,0
12.6,-0.2,0
-2.8,-0.3,1
-2.8,-1.4,1
-5.6,-1.4,1
11.5,-0.3,1
-0.6,0,1
-2.3,-0.1,1
-2.7,-0.8,1
-3.4,-0.7,1
13.4,-0.1,1
-3,-0.5,1
-1.9,-1.5,1
-2.6,-0.3,1
15.1,-0.3,0
-5.3,-0.8,0
-1.8,-0.8,0
-3.7,-0.6,0
11.5,-0.6,0
-3.4,-0.9,0
-1.9,-0.2,0
-6.9,-0.3,0
13.6,-0.1,0
-0.3,0.1,0
-3.1,-0.2,0
-4.6,-0.2,0
11.4,-0.3,0
-5,-0.3,0
-11.8,1.6,0
-18.8,1.6,0
-6.3,3.7,0
-31.7,2.7,0
-24,7.4,0
-14.2,3.8,0
-8.9,3.7,0
14.9,0.1,0
-2.7,2,0
-0.3,2,0
-0.1,8.7,0
19.9,0.3,0
0.8,0.2,0
0.4,0.1,0
-2,0.1,0
18,2.3,0
-10.3,2.5,0
-5.9,1.7,0
-5.8,0.7,0
15.3,0.3,0
-6.4,0.3,0
-8.4,0.4,0
-10.1,-0.5,0
10.4,-0.3,0
-10.7,0,0
-11.6,0,0
-4,-0.5,1
15.4,0,1
-6.9,0,1
-9.3,0.2,1
-6.4,0,1
-10.7,-2.8,1
15.8,-2.9,1
-10.5,-1.1,1
-5.7,-1.3,1
-2.4,-0.3,1
18.6,0.4,1
-1.1,-0.6,1
-0.4,-0.6,1
-5.7,-1.2,1
17.7,-0.9,1
-5.8,-0.8,0
-8.2,-2,0
-4.8,0.1,0
14.3,0.3,0
-4.6,-1,0
-6.1,-0.9,0
-0.4,-1.4,0
17.1,-0.2,0
-5.2,0.5,0
-4.2,-0.7,0
-6.3,-0.6,0
15.6,-1.8,0
-3.8,-0.2,0
-4.6,-0.3,0
-3,0,0
-2.7,0,0
19.5,-3.1,0
-1.7,0,0
-2.4,0.1,0
-3,-2.2,0
18.1,0.6,0
-2.8,-0.1,0
-3.9,0.5,0
-2.9,-0.3,0
16.1,-0.2,0
-6.5,-0.7,0
-5.9,-3,0
-7.2,0.5,0
20.3,0.2,0
-0.6,0.1,0
-0.2,2.3,0
-0.1,0.3,1
15.9,0.6,1
-3.5,1,1
-2.5,0.4,1
-4.9,0.6,1
16.3,0.5,1
-4,-0.3,1
-2.3,0.1,1
-2.3,0.1,1
-6.2,0.9,1
16,0.7,1
-4.5,0.4,1
-2.2,0.2,1
-5.4,0.4,1
14.7,0.7,1
-6.1,0.5,1
-1.9,0.3,1
-3.1,0.3,1
15.6,0,0
-2.7,0.9,0
-5.5,0.7,0
-2.1,0.4,0
14.2,0.2,0
-3.1,0.1,0
-3.1,0.1,0
-5.2,0.3,0
10.2,-0.2,0
-7.7,0.4,0
-10.9,-1.6,1
-7.9,0.7,1
11,0.2,1
-2.4,-1.1,1
-0.8,-0.3,1
-0.4,0,1
-0.1,0.1,1
13.8,0,1
-6.2,0.4,1
-1.1,-0.1,1
-3.7,0.2,1
13.1,-0.9,1
-1.9,0.2,0
-3.1,0.2,0
-1.8,0.1,0
10.9,0.4,0
-3.1,0.3,0
-1.5,0.5,0
-3.1,0.3,0
12.8,0,0
-3,-0.4,0
-4.6,-0.2,0
-3.8,-1,0
9.4,0.3,0
-1.2,0.5,0
-0.9,-0.6,0
-2.3,0.3,0
8.2,0.5,0
-2,0.2,0
-0.9,0.1,0
-3.6,0.1,0
-1.7,0.5,0
9.1,0,0
-1,0.4,1
-1.8,0.3,1
-1.2,0.3,1
8.6,0.3,1
-0.6,0.3,1
-0.2,1.1,1
-1.7,0.6,1
7.5,0.3,1
-1.6,0.4,1
-0.8,0.2,1
-0.9,0.3,1
6.1,-1.3,1
-1.7,0.1,1
-0.4,0.6,0
-0.3,0.6,0
5.8,0.3,0
-0.7,0,0
-0.7,0.1,0
-4.9,0.2,0
-6.3,-5.6,0
-16.5,-0.6,0
-18.8,-5.7,0
-2.6,-3.6,0
0.2,-0.7,0
4.2,1.1,0
5,0.3,0
1,0.5,0
0.1,0.3,0
2.9,0.2,0
0.2,0.3,0
-0.2,0.3,0
-0.2,0,0
2,-0.2,0
0,0.6,0
0.1,0.2,0
0,0.1,0
0.1,-0.1,0
0.2,0,0
-0.1,0.1,0
0.1,0.1,0
0.2,-0.6,0
0.3,-0.7,1
0.6,0.4,1
0.2,-0.1,1
-1.9,0,1
0.7,-0.6,1
2.4,-0.4,1
1.2,-0.3,1
-0.1,0.9,1
-2.9,0.9,1
1,0.6,1
0.4,0.6,0
1,0.1,0
-1.6,-0.6,0
0,0.1,0
0.9,0,0
0.8,-0.2,0
-4,0.4,0
1.2,-0.1,0
0.8,-0.4,0
0.9,0,0
-5.4,-0.3,0
3.3,0.2,0
0.4,0.6,0
2.6,-0.5,0
-6,-0.2,0
1.4,-0.4,0
1.3,-0.4,0
0.9,-0.4,0
-7.7,-0.4,0
-4,0.5,0
-4,-1.1,0
-10.8,1,0
-4.1,0.4,0
-10.7,0.4,0
2.6,-0.2,0
2.6,-0.3,0
4.1,-0.5,0
-9.3,1.6,0
1.3,1.5,0
2.5,1.5,0
2.5,1.5,0
-7.8,2,0
2.4,-0.2,0
1.5,-0.2,0
1.4,3.4,0
-9.6,0.2,0
0.8,0.4,0
3.4,-0.6,0
0.1,-0.1,0
-11.6,0.5,0
3.6,-0.1,0
4.1,-0.5,0
1.7,-0.2,0
-13.9,-0.2,0
3.6,-0.2,0
1.5,-0.1,0
6.2,-0.2,0
0.4,0.8,0
-11.1,-0.4,0
2.3,-0.5,0
3.2,-0.6,0
2.9,-0.5,0
-12.8,-0.5,0
2,-0.7,0
2.1,-0.3,0
3.1,-0.5,0
-12.2,-1.2,0
0.6,0.3,0
5.2,-0.9,0
4.4,-0.6,0
-15.6,-0.2,0
3,-0.4,0
3.8,-0.7,0
4.5,-0.4,0
-14.2,-0.3,0
2.1,-0.2,0
5.1,-1,0
4.3,0,0
-14.7,-0.2,0
1,0,0
3.3,0.6,0
6.9,-0.7,0
5.3,-0.5,0
-17.9,-0.1,0
4.4,-0.3,0
4,-0.4,0
5.4,-0.5,0
-17.3,-0.3,0
1.5,0.2,0
4,0,0
8.1,-0.8,0
-13,-0.6,0
9.7,0.3,0
4.1,0.5,0
4.9,0.8,0
-13.9,0.5,0
11.3,2.2,0
9.8,0.3,0
18.7,4.5,0
-5.2,4.9,0
14.7,-0.8,0
11.1,-0.4,0
3.5,0,0
-18.8,1.2,0
3.7,4.2,1
0.5,3.6,1
3.9,0.4,1
5.6,0.2,1
-19.4,0.6,1
5.5,0.3,1
3.7,0.5,1
2.9,0.9,1
-19.8,1,1
5.7,0.3,1
0.4,0.2,0
2.6,-0.2,0
-16.3,-0.4,0
3.1,-0.4,0
4.8,-0.6,0
3,0,0
-17.5,-0.1,0
5.9,-0.2,0
7.7,-0.5,0
14.8,-0.1,1
-2.7,-0.3,1
28,-1,1
19.8,5.6,1
10.9,2,1
-17.3,4.2,1
2,0.2,1
3.2,0,1
2.6,0,1
2.7,0.3,1
-20.6,-0.2,0
3.2,-0.1,0
2.6,0,0
5,-0.9,0
-16.9,-0.2,0
3.4,-0.2,0
1,-0.5,0
5.5,0.4,0
-20.1,0.5,0
4.1,0.4,0
5.2,0,0
3.8,0,0
-19.5,0.8,0
5.2,0.6,0
1.5,0.2,0
2.4,0,0
-16.5,0,0
4,0.6,0
3.6,0.1,0
3,-0.1,0
-17.1,-0.1,0
1.7,-0.1,0
1.7,0,0
3.8,-0.2,0
2.5,-0.1,0
-14.3,0.4,0
2,0.2,0
3.8,0,0
1.9,-0.1,0
-10.9,-6.6,0
8.2,-1.3,1
7,-3.2,1
5.1,-3.1,1
-13.1,-0.7,1
3.9,-0.3,1
0.9,0.1,1
3.5,0,1
-16.5,0.3,1
5.7,-0.6,1
4.2,-0.5,1
2.1,-1.4,0
-16.2,-0.2,0
2.1,-0.1,0
3.5,-2.2,0
2.7,-0.7,0
-11.3,0.1,0
1.3,-0.3,0
2.5,0.5,0
4.6,0.5,0
2.7,0.5,0
-11.8,0,0
1.8,-0.2,0
1.7,0.4,0
0.6,-0.5,0
-13.5,-0.5,0
1.6,-0.6,0
1.8,-0.7,0
3,-0.5,0
-13.2,-0.5,0
3.7,0.3,0
1.8,-0.2,0
2,0.1,0
-11.6,0.2,0
1.9,0.5,0
4,0.3,0
1.2,0.1,0
-8.5,0,0
4.1,0.7,0
3.1,0.2,0
2.4,0.1,0
-10.5,0,1
0.6,-0.2,1
1.4,-0.2,1
8.2,-2,1
11.5,-1.9,1
6.5,-1.3,1
15.2,-1.2,1
13.5,-0.1,1
1,-0.1,1
-9,0.6,1
0.7,0.7,1
4.9,0.5,0
0.7,0.1,0
-7.2,0.1,0
0.2,0.4,0
0.9,-0.4,0
0.8,-0.5,0
-3.5,-0.1,0
0.4,-0.2,0
0.5,-0.9,0
1.3,-0.9,0
-4.7,-0.8,0
2.6,0.4,0
0.3,0.3,0
0.3,0.1,0
-4.7,0.1,0
0.2,0,0
1,-0.1,0
1.1,0.2,0
1,-0.1,0
-3.2,0.3,0
0.8,0.3,0
0,0.1,0
0.7,-0.1,0
-2.4,0.1,0
1.4,-0.1,0
0.5,0,0
0.2,0,0
-1.7,-0.4,0
2.3,0,0
0.5,-0.1,0
1.1,0,0
1.1,-0.1,0
1,-0.1,0
0.9,0,0
1,-0.2,0
0.2,0,0
0.1,0.1,0
1.6,0.3,0
-0.1,0.4,0
1.9,0.4,0
0,0,0
0,-0.8,0
0.2,-0.9,1
0.2,-0.1,1
3.3,-0.1,1
3.5,-1.3,1
11.7,-1,1
12.5,0.2,1
4.6,-0.8,1
0.5,-0.5,1
-1.4,0.4,1
-1.3,0.4,0
4,-0.1,0
-0.2,0.2,0
-0.2,0.1,0
-2.1,0.3,0
6.9,-0.3,0
0,0,0
0,-0.1,0
-0.3,-0.5,0
5.8,-0.4,0
-0.1,0,0
-0.1,-0.6,0
-2.6,-0.6,0
7.1,0.2,0
-0.3,-0.1,0
0.1,0.1,0
-1,0,0
-1,-0.4,0
8.3,0,0
-0.7,0,0
-1.8,-0.2,0
-0.2,-0.2,0
10.7,0.6,0
-3.4,0.4,0
-0.4,0.1,0
-0.3,0.2,0
8.5,0.4,0
-3.6,-0.1,0
-2.2,-0.1,0
-0.8,0,0
11.3,-0.2,0
-0.7,-0.1,0
-6.5,0.2,0
-0.7,-1,0
9.6,-0.4,0
-1.6,0.1,0
-2.6,-0.3,0
-1.4,0,0
11.5,0,0
-1.1,0.1,0
-1.1,0.4,0
-3.5,0.1,0
-2,-0.2,0
11.1,-0.2,0
-2.9,-0.2,0
-4.2,-0.2,0
-4.3,0,0
13.5,0,0
-4.9,0,0
-3.2,-0.1,0
-9.5,0.4,1
7.1,-0.3,1
-13.5,1.1,1
-9.2,1.1,1
-5.1,1.2,1
15,1.2,1
-2.1,0.1,1
-0.2,0.1,1
-0.2,0.5,1
17.8,0.5,1
-4,0.5,1
-6.1,1.8,1
-2.6,-0.3,1
11.9,-0.3,1
-2,-0.5,1
-2.8,-0.1,0
-0.4,0.1,0
-4.4,0.1,0
17.5,0.3,0
-2.7,0.5,0
-6.6,-0.2,0
-2.6,-0.3,0
11,-0.2,0
-12.6,-0.3,0
-23.3,-0.2,0
-27.7,0.3,0
-3.5,0.4,0
-15.3,1.4,0
-4,0.2,0
-1.6,0.2,0
20.8,0.4,0
0.1,0.1,0
-0.4,0.1,0
-0.4,1.7,0
17.2,0,0
-3.7,0.6,0
-2.5,0.1,0
-2.6,0,0
17.2,0,0
-4.8,-0.4,0
-3.6,-0.4,1
-4.3,0,1
-2.4,0,1
16.2,0.6,1
-6.6,0.5,1
-4.7,0.7,1
-2.8,0.5,1
19.1,-0.2,1
-5.4,-0.1,1
-3.7,0,1
-3.6,0.4,1
17.5,0.5,0
-1.8,0,0
-6.4,0.9,0
-2.7,0.7,0
15.8,0.2,0
-1,0,0
-2.6,-0.1,0
-2.4,-0.7,0
16.4,-0.1,0
-2.8,-0.2,0
-2.9,0.5,0
-4.5,0.2,0
15.9,0.4,0
-5,0.8,0
-4.2,0.8,0
-2.8,0.1,0
-5.2,0.3,0
12.9,-1.2,0
-18.6,-0.9,0
-20.6,0.3,0
-20.3,1.2,0
1.8,-2,0
-9.4,-0.2,0
-3.4,0.1,0
-2.3,0,0
19.6,0.2,0
-0.1,0.1,0
-0.1,0.2,0
-0.3,-0.1,0
20.7,0,0
-3.3,0.3,0
-3.6,0.6,0
-3.5,0.2,0
14.7,0.4,0
-4,0,0
-4.2,0.2,0
-2.1,-0.1,0
14.6,0.1,0
-0.6,-0.2,0
-3.9,0.1,0
-2.1,0,0
-3.7,0.1,0
17.7,0,0
-5.6,0.6,0
-1,-0.4,0
-5.6,0.1,0
16.2,-0.7,0
-4,-0.1,0
-1.3,-0.2,0
-2.6,-0.1,0
16.7,0.1,0
-3.7,0.2,0
-2.5,0,0
-3,0.8,0
13.2,0.8,0
-3.9,0.3,0
-0.7,0,0
-5.2,0.5,0
17.4,-1,0
-2.6,-0.4,0
-2.7,-0.4,0
-3.5,-0.8,0
14.1,-1,0
-1.9,0,0
-2.3,-0.1,0
-4.4,-0.2,0
-4.4,-0.1,1
4.7,-1.2,1
-23.1,-0.8,1
-27.3,-1.3,1
-25.9,-2.2,1
7.1,0.2,1
-1.1,0,1
-0.5,0.1,1
-0.7,0.2,1
13.2,0.2,1
-0.1,0.6,1
-0.2,0.6,1
-1.3,-0.1,1
12.6,0.3,1
-0.8,0,1
-2.2,0.1,1
-2.5,0.3,1
9.2,-0.4,0
-2.1,-0.4,0
-1.8,-1.3,0
-2.4,0.6,0
10.3,0,0
-1.2,0.6,0
-1.6,0,0
-1.3,0.1,0
-2.2,0.7,0
8.5,0.3,0
-2,0.1,0
-2,0.2,0
-3.3,0.5,0
9.4,-0.4,0
-1.3,0.4,0
